,Image,Description,Reference,Match,Book,Cleaned_Description,Lemmatized_Description,Stemmed_Description,split
751,dataset/images/3.pdf/page_222_image_1.png,Melanoma Melanomas typically present as large brown or black patches with uneven borders and a raised surface credit the National Cancer Institute,['uneven borders and a raised surface'],Figure 4.4.3,3.pdf,melanoma melanomas typically present large brown black patches uneven borders raised surface credit national cancer institute,melanoma melanoma typically present large brown black patch uneven border raised surface credit national cancer institute,melanoma melanoma typic present larg brown black patch uneven border rais surfac credit nation cancer institut,train
752,dataset/images/3.pdf/page_222_image_2.png,Eczema Eczema is a common skin disorder that presents as a red flaky rash credit JambulaWikimedia Commons,[],Figure 4.4.4,3.pdf,eczema eczema common skin disorder presents red flaky rash credit jambulawikimedia commons,eczema eczema common skin disorder present red flaky rash credit jambulawikimedia common,eczema eczema common skin disord present red flaki rash credit jambulawikimedia common,train
753,dataset/images/3.pdf/page_223_image_1.png,Acne Acne is a result of overproductive sebaceous glands which leads to formation of blackheads and inflammation of the skin,['to the natural wound healing process'],Figure 4.4.5,3.pdf,acne acne result overproductive sebaceous glands leads formation blackheads inflammation skin,acne acne result overproductive sebaceous gland lead formation blackhead inflammation skin,acn acn result overproduct sebac gland lead format blackhead inflamm skin,train
754,dataset/images/3.pdf/page_225_image_1.png,Calculating the size of a burn The size of a burn will guide decisions made about the need for specialised treatment Specific parts of the body are associated with a percentage of body area,['that is a factor of nine    Burns are'],Figure 4.4.6,3.pdf,calculating size burn size burn guide decisions made need specialised treatment specific parts body associated percentage body area,calculating size burn size burn guide decision made need specialised treatment specific part body associated percentage body area,calcul size burn size burn guid decis made need specialis treatment specif part bodi associ percentag bodi area,train
755,dataset/images/3.pdf/page_231_image_1.png,Composition of blood The cellular elements of blood include a vast number of erythrocytes and comparatively fewer leukocytes and platelets Plasma is the fluid in which the cellular components are suspended A sample of blood spun in a centrifuge reveals that plasma is the lightest component It floats at the top of the tube separated from the heaviest elements the erythrocytes by a buffy coat of leukocytes WBCs and platelets Haematocrit is the percentage of the total sample that is comprised of erythrocytes Depressed and elevated haematocrit levels are shown for comparison,['from the lightweight  liquid plasma    Because the heaviest elements'],Figure 5.1.1,3.pdf,composition blood cellular elements blood include vast number erythrocytes comparatively fewer leukocytes platelets plasma fluid cellular components suspended sample blood spun centrifuge reveals plasma lightest component floats top tube separated heaviest elements erythrocytes buffy coat leukocytes wbcs platelets haematocrit percentage total sample comprised erythrocytes depressed elevated haematocrit levels shown comparison,composition blood cellular element blood include vast number erythrocyte comparatively fewer leukocyte platelet plasma fluid cellular component suspended sample blood spun centrifuge reveals plasma lightest component float top tube separated heaviest element erythrocyte buffy coat leukocyte wbc platelet haematocrit percentage total sample comprised erythrocyte depressed elevated haematocrit level shown comparison,composit blood cellular element blood includ vast number erythrocyt compar fewer leukocyt platelet plasma fluid cellular compon suspend sampl blood spun centrifug reveal plasma lightest compon float top tube separ heaviest element erythrocyt buffi coat leukocyt wbc platelet haematocrit percentag total sampl compris erythrocyt depress elev haematocrit level shown comparison,train
756,dataset/images/3.pdf/page_243_image_1.png,Shape of red blood cells a Erythrocytes are biconcave discs with very shallow centres This shape optimises the ratio of surface area to volume facilitating gas exchange It also enables them to fold up as they move through narrow blood vessels b An image from a peripheral blood smear showing normochromic normocytic red blood cells A small lymphocyte is present from comparison 100x oil immersion From MLS Collection University of Alberta httpsdoiorg107939R3W669Q69,['Since they lack most organelles'],Figure 5.3.2,3.pdf,shape red blood cells erythrocytes biconcave discs shallow centres shape optimises ratio surface area volume facilitating gas exchange also enables fold move narrow blood vessels b image peripheral blood smear showing normochromic normocytic red blood cells small lymphocyte present comparison 100x oil immersion mls collection university alberta httpsdoiorg107939r3w669q69,shape red blood cell erythrocyte biconcave disc shallow centre shape optimises ratio surface area volume facilitating gas exchange also enables fold move narrow blood vessel b image peripheral blood smear showing normochromic normocytic red blood cell small lymphocyte present comparison 100x oil immersion ml collection university alberta httpsdoiorg107939r3w669q69,shape red blood cell erythrocyt biconcav disc shallow centr shape optimis ratio surfac area volum facilit ga exchang also enabl fold move narrow blood vessel b imag peripher blood smear show normochrom normocyt red blood cell small lymphocyt present comparison 100x oil immers ml collect univers alberta httpsdoiorg107939r3w669q69,valid
757,dataset/images/3.pdf/page_244_image_1.png,Haemoglobin a A molecule of haemoglobin contains four globin proteins each of which is bound to one molecule of the ironcontaining pigment haem b A single erythrocyte can contain 300 million haemoglobin molecules and thus more than 1 billion oxygen molecules,[],Figure 5.3.3,3.pdf,haemoglobin molecule haemoglobin contains four globin proteins bound one molecule ironcontaining pigment haem b single erythrocyte contain 300 million haemoglobin molecules thus 1 billion oxygen molecules,haemoglobin molecule haemoglobin contains four globin protein bound one molecule ironcontaining pigment haem b single erythrocyte contain 300 million haemoglobin molecule thus 1 billion oxygen molecule,haemoglobin molecul haemoglobin contain four globin protein bound one molecul ironcontain pigment haem b singl erythrocyt contain 300 million haemoglobin molecul thu 1 billion oxygen molecul,train
758,dataset/images/3.pdf/page_253_image_1.png,Emigration Leukocytes exit the blood vessel and then move through the connective tissue of the dermis toward the site of a wound Some leukocytes such as the eosinophil and neutrophil are characterised as granular leukocytes They release chemicals from their granules that destroy pathogens they are also capable of phagocytosis The monocyte sometimes referred to as an agranular leukocyte differentiates into a macrophage that then phagocytises the pathogens,['on their function  As shown in  they'],Figure 5.4.1,3.pdf,emigration leukocytes exit blood vessel move connective tissue dermis toward site wound leukocytes eosinophil neutrophil characterised granular leukocytes release chemicals granules destroy pathogens also capable phagocytosis monocyte sometimes referred agranular leukocyte differentiates macrophage phagocytises pathogens,emigration leukocyte exit blood vessel move connective tissue dermis toward site wound leukocyte eosinophil neutrophil characterised granular leukocyte release chemical granule destroy pathogen also capable phagocytosis monocyte sometimes referred agranular leukocyte differentiates macrophage phagocytises pathogen,emigr leukocyt exit blood vessel move connect tissu dermi toward site wound leukocyt eosinophil neutrophil characteris granular leukocyt releas chemic granul destroy pathogen also capabl phagocytosi monocyt sometim refer agranular leukocyt differenti macrophag phagocytis pathogen,train
759,dataset/images/3.pdf/page_254_image_1.png,Granular leukocytes A neutrophil has small granules that stain light lilac and a nucleus with two to five lobes An eosinophils granules are slightly larger and stain reddishorange and its nucleus has two to three lobes A basophil has large granules that stain dark blue to purple and a twolobed nucleus that is often obscured by the granules,['of stain best highlights their granules'],Figure 5.4.2,3.pdf,granular leukocytes neutrophil small granules stain light lilac nucleus two five lobes eosinophils granules slightly larger stain reddishorange nucleus two three lobes basophil large granules stain dark blue purple twolobed nucleus often obscured granules,granular leukocyte neutrophil small granule stain light lilac nucleus two five lobe eosinophil granule slightly larger stain reddishorange nucleus two three lobe basophil large granule stain dark blue purple twolobed nucleus often obscured granule,granular leukocyt neutrophil small granul stain light lilac nucleu two five lobe eosinophil granul slightli larger stain reddishorang nucleu two three lobe basophil larg granul stain dark blue purpl twolob nucleu often obscur granul,train
760,dataset/images/3.pdf/page_256_image_1.jpeg,Leukocytes Micrographs provided by the Regents of University of Michigan Medical School  2012,"['suppression of the bone marrow  illustrates the five main types of circulating', 'summarised in']",Figure 5.4.4,3.pdf,leukocytes micrographs provided regents university michigan medical school 2012,leukocyte micrographs provided regent university michigan medical school 2012,leukocyt micrograph provid regent univers michigan medic school 2012,train
761,dataset/images/3.pdf/page_263_image_1.png,Haemostasis a An injury to a blood vessel initiates the process of haemostasis Blood clotting involves three steps First vascular spasm slows the flow of blood Next a platelet plug forms to temporarily seal small openings in the vessel Coagulation then enables the repair of the vessel wall once the leakage of blood has stopped b The synthesis of fibrin in blood clots involves both an intrinsic pathway and an extrinsic pathway both of which lead to a common pathway credit a Kevin MacKenzie,['platelets and blood cells are trapped  summarises the three steps of'],Figure 5.5.1,3.pdf,haemostasis injury blood vessel initiates process haemostasis blood clotting involves three steps first vascular spasm slows flow blood next platelet plug forms temporarily seal small openings vessel coagulation enables repair vessel wall leakage blood stopped b synthesis fibrin blood clots involves intrinsic pathway extrinsic pathway lead common pathway credit kevin mackenzie,haemostasis injury blood vessel initiate process haemostasis blood clotting involves three step first vascular spasm slows flow blood next platelet plug form temporarily seal small opening vessel coagulation enables repair vessel wall leakage blood stopped b synthesis fibrin blood clot involves intrinsic pathway extrinsic pathway lead common pathway credit kevin mackenzie,haemostasi injuri blood vessel initi process haemostasi blood clot involv three step first vascular spasm slow flow blood next platelet plug form temporarili seal small open vessel coagul enabl repair vessel wall leakag blood stop b synthesi fibrin blood clot involv intrins pathway extrins pathway lead common pathway credit kevin mackenzi,train
762,dataset/images/3.pdf/page_272_image_1.png,Erythroblastosis foetalis The first exposure of an Rh mother to Rh erythrocytes during pregnancy induces sensitisation AntiRh antibodies begin to circulate in the mothers bloodstream A second exposure occurs with a subsequent pregnancy with an Rh foetus in the uterus Maternal antiRh antibodies may cross the placenta and enter the foetal bloodstream causing agglutination and haemolysis of foetal erythrocytes,['the baby  s Rh cells    Research has shown that'],Figure 5.6.1,3.pdf,erythroblastosis foetalis first exposure rh mother rh erythrocytes pregnancy induces sensitisation antirh antibodies begin circulate mothers bloodstream second exposure occurs subsequent pregnancy rh foetus uterus maternal antirh antibodies may cross placenta enter foetal bloodstream causing agglutination haemolysis foetal erythrocytes,erythroblastosis foetalis first exposure rh mother rh erythrocyte pregnancy induces sensitisation antirh antibody begin circulate mother bloodstream second exposure occurs subsequent pregnancy rh foetus uterus maternal antirh antibody may cross placenta enter foetal bloodstream causing agglutination haemolysis foetal erythrocyte,erythroblastosi foetali first exposur rh mother rh erythrocyt pregnanc induc sensitis antirh antibodi begin circul mother bloodstream second exposur occur subsequ pregnanc rh foetu uteru matern antirh antibodi may cross placenta enter foetal bloodstream caus agglutin haemolysi foetal erythrocyt,valid
763,dataset/images/3.pdf/page_273_image_1.png,Determining blood types This sample of a commercially produced bedside card enables quick typing of both a recipients and donors blood before transfusion The card contains three reaction sites or wells One is coated with an antiA antibody one with an antiB antibody and one with an antiD antibody Mixing a drop of blood and saline into each well enables the blood to interact with a preparation of typespecific antibodies also called antisera Agglutination of RBCs in a given site indicates a positive identification of the blood antigens in this case A and RhD antigens for blood type A For the purpose of transfusion the donors and recipients blood types must be compatible the donors RBC must not express antigens that will react with antibodies in the patients plasma,['cause visible agglutination of the cells    The patient  s blood'],Figure 5.6.2,3.pdf,determining blood types sample commercially produced bedside card enables quick typing recipients donors blood transfusion card contains three reaction sites wells one coated antia antibody one antib antibody one antid antibody mixing drop blood saline well enables blood interact preparation typespecific antibodies also called antisera agglutination rbcs given site indicates positive identification blood antigens case rhd antigens blood type purpose transfusion donors recipients blood types must compatible donors rbc must express antigens react antibodies patients plasma,determining blood type sample commercially produced bedside card enables quick typing recipient donor blood transfusion card contains three reaction site well one coated antia antibody one antib antibody one antid antibody mixing drop blood saline well enables blood interact preparation typespecific antibody also called antiserum agglutination rbc given site indicates positive identification blood antigen case rhd antigen blood type purpose transfusion donor recipient blood type must compatible donor rbc must express antigen react antibody patient plasma,determin blood type sampl commerci produc bedsid card enabl quick type recipi donor blood transfus card contain three reaction site well one coat antia antibodi one antib antibodi one antid antibodi mix drop blood salin well enabl blood interact prepar typespecif antibodi also call antisera agglutin rbc given site indic posit identif blood antigen case rhd antigen blood type purpos transfus donor recipi blood type must compat donor rbc must express antigen react antibodi patient plasma,train
764,dataset/images/3.pdf/page_279_image_1.png,Position of the heart in the thorax The heart is located within the thoracic cavity medially between the lungs in the mediastinum It is about the size of a fist is broad at the top and tapers toward the base,"['as the mediastinum  shows the position of the heart within', 'third costal cartilage  as seen in  The inferior tip of the heart', 'between the vertebrae and sternum  see for the position', 'apex  see   A typical heart is approximately']",Figure 6.1.1,3.pdf,position heart thorax heart located within thoracic cavity medially lungs mediastinum size fist broad top tapers toward base,position heart thorax heart located within thoracic cavity medially lung mediastinum size fist broad top taper toward base,posit heart thorax heart locat within thorac caviti medial lung mediastinum size fist broad top taper toward base,train
765,dataset/images/3.pdf/page_280_image_1.png,CPR technique If the heart should stop CPR can maintain the flow of blood until the heart resumes beating By applying pressure to the sternum the blood within the heart will be squeezed out of the heart and into the circulation Proper positioning of the hands on the sternum to perform CPR would be between the lines at T4 and T9,[],Figure 6.1.2,3.pdf,cpr technique heart stop cpr maintain flow blood heart resumes beating applying pressure sternum blood within heart squeezed heart circulation proper positioning hands sternum perform cpr would lines t4 t9,cpr technique heart stop cpr maintain flow blood heart resume beating applying pressure sternum blood within heart squeezed heart circulation proper positioning hand sternum perform cpr would line t4 t9,cpr techniqu heart stop cpr maintain flow blood heart resum beat appli pressur sternum blood within heart squeez heart circul proper posit hand sternum perform cpr would line t4 t9,train
766,dataset/images/3.pdf/page_282_image_1.png,Dual system of the human blood circulation Blood flows from the right atrium to the right ventricle where it is pumped into the pulmonary circuit The blood in the pulmonary artery branches is low in oxygen but relatively high in carbon dioxide Gas exchange occurs in the pulmonary capillaries oxygen into the blood carbon dioxide out and blood high in oxygen and low in carbon dioxide is returned to the left atrium From here blood enters the left ventricle which pumps it into the systemic circuit Following exchange in the systemic capillaries oxygen and nutrients out of the capillaries and carbon dioxide and wastes in blood returns to the right atrium and the cycle is repeated,['professions'],Figure 6.1.3,3.pdf,dual system human blood circulation blood flows right atrium right ventricle pumped pulmonary circuit blood pulmonary artery branches low oxygen relatively high carbon dioxide gas exchange occurs pulmonary capillaries oxygen blood carbon dioxide blood high oxygen low carbon dioxide returned left atrium blood enters left ventricle pumps systemic circuit following exchange systemic capillaries oxygen nutrients capillaries carbon dioxide wastes blood returns right atrium cycle repeated,dual system human blood circulation blood flow right atrium right ventricle pumped pulmonary circuit blood pulmonary artery branch low oxygen relatively high carbon dioxide gas exchange occurs pulmonary capillary oxygen blood carbon dioxide blood high oxygen low carbon dioxide returned left atrium blood enters left ventricle pump systemic circuit following exchange systemic capillary oxygen nutrient capillary carbon dioxide waste blood return right atrium cycle repeated,dual system human blood circul blood flow right atrium right ventricl pump pulmonari circuit blood pulmonari arteri branch low oxygen rel high carbon dioxid ga exchang occur pulmonari capillari oxygen blood carbon dioxid blood high oxygen low carbon dioxid return left atrium blood enter left ventricl pump system circuit follow exchang system capillari oxygen nutrient capillari carbon dioxid wast blood return right atrium cycl repeat,train
767,dataset/images/3.pdf/page_283_image_1.png,Pericardial membranes and layers of the heart wall The pericardial membranes that surrounds the heart consists of three layers and the pericardial cavity The heart wall also consists of three layers The pericardial membrane and the heart wall share the epicardium,"['reduces friction as the heart contracts  illustrates the pericardial', 'the myocardium and the endocardium  see   The outermost layer of the', 'lining of the blood vessels  see']",Figure 6.1.4,3.pdf,pericardial membranes layers heart wall pericardial membranes surrounds heart consists three layers pericardial cavity heart wall also consists three layers pericardial membrane heart wall share epicardium,pericardial membrane layer heart wall pericardial membrane surround heart consists three layer pericardial cavity heart wall also consists three layer pericardial membrane heart wall share epicardium,pericardi membran layer heart wall pericardi membran surround heart consist three layer pericardi caviti heart wall also consist three layer pericardi membran heart wall share epicardium,train
768,dataset/images/3.pdf/page_285_image_1.png,External anatomy of the heart Inside the pericardium the surface features of the heart are visible,[],Figure 6.1.5,3.pdf,external anatomy heart inside pericardium surface features heart visible,external anatomy heart inside pericardium surface feature heart visible,extern anatomi heart insid pericardium surfac featur heart visibl,train
769,dataset/images/3.pdf/page_286_image_1.png,Heart musculature The swirling pattern of cardiac muscle tissue contributes significantly to the hearts ability to pump blood effectively,[],Figure 6.1.6,3.pdf,heart musculature swirling pattern cardiac muscle tissue contributes significantly hearts ability pump blood effectively,heart musculature swirling pattern cardiac muscle tissue contributes significantly heart ability pump blood effectively,heart musculatur swirl pattern cardiac muscl tissu contribut significantli heart abil pump blood effect,train
770,dataset/images/3.pdf/page_287_image_1.png,Differences in ventricular muscle thickness The myocardium in the left ventricle is significantly thicker than that of the right ventricle Both ventricles pump the same amount of blood but the left ventricle must generate a much greater pressure to overcome greater resistance in the systemic circuit The ventricles are shown in both relaxed and contracting states Note the differences in the relative size of the lumens the region inside each ventricle where the blood is contained,"['is shorter and provides less resistance  illustrates the differences in', 'ventricle compared to the right  see   Like the right ventricle']",Figure 6.1.7,3.pdf,differences ventricular muscle thickness myocardium left ventricle significantly thicker right ventricle ventricles pump amount blood left ventricle must generate much greater pressure overcome greater resistance systemic circuit ventricles shown relaxed contracting states note differences relative size lumens region inside ventricle blood contained,difference ventricular muscle thickness myocardium left ventricle significantly thicker right ventricle ventricle pump amount blood left ventricle must generate much greater pressure overcome greater resistance systemic circuit ventricle shown relaxed contracting state note difference relative size lumen region inside ventricle blood contained,differ ventricular muscl thick myocardium left ventricl significantli thicker right ventricl ventricl pump amount blood left ventricl must gener much greater pressur overcom greater resist system circuit ventricl shown relax contract state note differ rel size lumen region insid ventricl blood contain,train
771,dataset/images/3.pdf/page_288_image_1.png,Internal structures of the heart This anterior view of the heart shows the four chambers the major vessels and their early branches as well as the valves The presence of the pulmonary trunk and aorta covers the interatrial septum and the atrioventricular septum is cut away to show the atrioventricular valves,"['is visible in  In this figure  the atrioventricular', 'subsequent sections are illustrated in']",Figure 6.1.8,3.pdf,internal structures heart anterior view heart shows four chambers major vessels early branches well valves presence pulmonary trunk aorta covers interatrial septum atrioventricular septum cut away show atrioventricular valves,internal structure heart anterior view heart show four chamber major vessel early branch well valve presence pulmonary trunk aorta cover interatrial septum atrioventricular septum cut away show atrioventricular valve,intern structur heart anterior view heart show four chamber major vessel earli branch well valv presenc pulmonari trunk aorta cover interatri septum atrioventricular septum cut away show atrioventricular valv,train
772,dataset/images/3.pdf/page_290_image_1.png,Congenital heart defects a A patent foramen ovale defect is an abnormal opening in the interatrial septum or more commonly a failure of the foramen ovale to close b Coarctation of the aorta is an abnormal narrowing of the aorta c A patent ductus arteriosus is the failure of the ductus arteriosus to close d Tetralogy of Fallot includes an abnormal opening in the interventricular septum,['defects are illustrated in'],Figure 6.1.9,3.pdf,congenital heart defects patent foramen ovale defect abnormal opening interatrial septum commonly failure foramen ovale close b coarctation aorta abnormal narrowing aorta c patent ductus arteriosus failure ductus arteriosus close tetralogy fallot includes abnormal opening interventricular septum,congenital heart defect patent foramen ovale defect abnormal opening interatrial septum commonly failure foramen ovale close b coarctation aorta abnormal narrowing aorta c patent ductus arteriosus failure ductus arteriosus close tetralogy fallot includes abnormal opening interventricular septum,congenit heart defect patent foramen oval defect abnorm open interatri septum commonli failur foramen oval close b coarctat aorta abnorm narrow aorta c patent ductu arteriosu failur ductu arteriosu close tetralog fallot includ abnorm open interventricular septum,train
773,dataset/images/3.pdf/page_291_image_1.png,Chordae tendineae and papillary muscles In this frontal section you can see papillary muscles attached to the tricuspid valve on the right as well as the mitral valve on the left via chordae tendineae credit modification of work by PV KSflickrcom,['atria during ventricular contraction  shows'],Figure 6.1.10,3.pdf,chordae tendineae papillary muscles frontal section see papillary muscles attached tricuspid valve right well mitral valve left via chordae tendineae credit modification work pv ksflickrcom,chordae tendineae papillary muscle frontal section see papillary muscle attached tricuspid valve right well mitral valve left via chordae tendineae credit modification work pv ksflickrcom,chorda tendinea papillari muscl frontal section see papillari muscl attach tricuspid valv right well mitral valv left via chorda tendinea credit modif work pv ksflickrcom,train
774,dataset/images/3.pdf/page_293_image_1.png,Heart valves With the atria and major vessels removed all four valves are clearly visible although it is difficult to distinguish the three separate cusps of the tricuspid valve,['heart valves along the same plane    The valves ensure unidirectional blood'],Figure 6.1.11,3.pdf,heart valves atria major vessels removed four valves clearly visible although difficult distinguish three separate cusps tricuspid valve,heart valve atrium major vessel removed four valve clearly visible although difficult distinguish three separate cusp tricuspid valve,heart valv atria major vessel remov four valv clearli visibl although difficult distinguish three separ cusp tricuspid valv,train
775,dataset/images/3.pdf/page_294_image_1.png,Blood flow from the left atrium to the left ventricle a A transverse section through the heart illustrates the four heart valves The two atrioventricular valves are open the two semilunar valves are closed The atria and vessels have been removed b A frontal section through the heart illustrates blood flow through the mitral valve When the mitral valve is open it allows blood to move from the left atrium to the left ventricle The aortic semilunar valve is closed to prevent backflow of blood from the aorta to the left ventricle,[],Figure 6.1.12,3.pdf,blood flow left atrium left ventricle transverse section heart illustrates four heart valves two atrioventricular valves open two semilunar valves closed atria vessels removed b frontal section heart illustrates blood flow mitral valve mitral valve open allows blood move left atrium left ventricle aortic semilunar valve closed prevent backflow blood aorta left ventricle,blood flow left atrium left ventricle transverse section heart illustrates four heart valve two atrioventricular valve open two semilunar valve closed atrium vessel removed b frontal section heart illustrates blood flow mitral valve mitral valve open allows blood move left atrium left ventricle aortic semilunar valve closed prevent backflow blood aorta left ventricle,blood flow left atrium left ventricl transvers section heart illustr four heart valv two atrioventricular valv open two semilunar valv close atria vessel remov b frontal section heart illustr blood flow mitral valv mitral valv open allow blood move left atrium left ventricl aortic semilunar valv close prevent backflow blood aorta left ventricl,train
776,dataset/images/3.pdf/page_295_image_1.png,Blood flow from the left ventricle into the great vessels a A transverse section through the heart illustrates the four heart valves during ventricular contraction The two atrioventricular valves are closed but the two semilunar valves are open The atria and vessels have been removed b A frontal view shows the closed mitral bicuspid valve that prevents backflow of blood into the left atrium The aortic semilunar valve is open to allow blood to be ejected into the aorta,[],Figure 6.1.13,3.pdf,blood flow left ventricle great vessels transverse section heart illustrates four heart valves ventricular contraction two atrioventricular valves closed two semilunar valves open atria vessels removed b frontal view shows closed mitral bicuspid valve prevents backflow blood left atrium aortic semilunar valve open allow blood ejected aorta,blood flow left ventricle great vessel transverse section heart illustrates four heart valve ventricular contraction two atrioventricular valve closed two semilunar valve open atrium vessel removed b frontal view show closed mitral bicuspid valve prevents backflow blood left atrium aortic semilunar valve open allow blood ejected aorta,blood flow left ventricl great vessel transvers section heart illustr four heart valv ventricular contract two atrioventricular valv close two semilunar valv open atria vessel remov b frontal view show close mitral bicuspid valv prevent backflow blood left atrium aortic semilunar valv open allow blood eject aorta,train
777,dataset/images/3.pdf/page_298_image_1.png,Coronary circulation The anterior view of the heart shows the prominent coronary surface vessels The posterior view of the heart shows the prominent coronary surface vessels,"['septum and portions of both ventricles  presents', 'parallel the large surface arteries  see   The great']",Figure 6.1.14,3.pdf,coronary circulation anterior view heart shows prominent coronary surface vessels posterior view heart shows prominent coronary surface vessels,coronary circulation anterior view heart show prominent coronary surface vessel posterior view heart show prominent coronary surface vessel,coronari circul anterior view heart show promin coronari surfac vessel posterior view heart show promin coronari surfac vessel,train
778,dataset/images/3.pdf/page_300_image_1.png,Atherosclerotic coronary arteries In this coronary angiogram Xray the dye makes visible two occluded coronary arteries Such blockages can lead to decreased blood flow ischaemia and insufficient oxygen hypoxia delivered to the cardiac tissues If uncorrected this can lead to cardiac muscle death myocardial infarction,['called hypoxia  shows the blockage of'],Figure 6.1.15,3.pdf,atherosclerotic coronary arteries coronary angiogram xray dye makes visible two occluded coronary arteries blockages lead decreased blood flow ischaemia insufficient oxygen hypoxia delivered cardiac tissues uncorrected lead cardiac muscle death myocardial infarction,atherosclerotic coronary artery coronary angiogram xray dye make visible two occluded coronary artery blockage lead decreased blood flow ischaemia insufficient oxygen hypoxia delivered cardiac tissue uncorrected lead cardiac muscle death myocardial infarction,atherosclerot coronari arteri coronari angiogram xray dye make visibl two occlud coronari arteri blockag lead decreas blood flow ischaemia insuffici oxygen hypoxia deliv cardiac tissu uncorrect lead cardiac muscl death myocardi infarct,train
779,dataset/images/3.pdf/page_304_image_1.png,Cardiac muscle a Cardiac muscle cells have myofibrils composed of myofilaments arranged in sarcomeres T tubules to transmit the impulse from the sarcolemma to the interior of the cell numerous mitochondria for energy and intercalated discs that are found at the junction of different cardiac muscle cells b A photomicrograph of cardiac muscle cells shows the nuclei and intercalated discs c An intercalated disc connects cardiac muscle cells and consists of desmosomes and gap junctions LM  1600 Micrograph provided by the Regents of the University of Michigan Medical School  2012,[],Figure 6.2.1,3.pdf,cardiac muscle cardiac muscle cells myofibrils composed myofilaments arranged sarcomeres tubules transmit impulse sarcolemma interior cell numerous mitochondria energy intercalated discs found junction different cardiac muscle cells b photomicrograph cardiac muscle cells shows nuclei intercalated discs c intercalated disc connects cardiac muscle cells consists desmosomes gap junctions lm 1600 micrograph provided regents university michigan medical school 2012,cardiac muscle cardiac muscle cell myofibril composed myofilaments arranged sarcomere tubule transmit impulse sarcolemma interior cell numerous mitochondrion energy intercalated disc found junction different cardiac muscle cell b photomicrograph cardiac muscle cell show nucleus intercalated disc c intercalated disc connects cardiac muscle cell consists desmosomes gap junction lm 1600 micrograph provided regent university michigan medical school 2012,cardiac muscl cardiac muscl cell myofibril compos myofila arrang sarcomer tubul transmit impuls sarcolemma interior cell numer mitochondria energi intercal disc found junction differ cardiac muscl cell b photomicrograph cardiac muscl cell show nuclei intercal disc c intercal disc connect cardiac muscl cell consist desmosom gap junction lm 1600 micrograph provid regent univers michigan medic school 2012,train
780,dataset/images/3.pdf/page_306_image_1.png,Conduction system of the heart Specialised conducting components of the heart include the sinoatrial node the internodal pathways the atrioventricular node the atrioventricular bundle the right and left bundle branches and the Purkinje fibres,"['branches  and the Purkinje cells', 'system  the atrioventricular node  see   The impulse', 'outer layers of the vessel  see  or the pressure exerted by the']",Figure 6.2.2,3.pdf,conduction system heart specialised conducting components heart include sinoatrial node internodal pathways atrioventricular node atrioventricular bundle right left bundle branches purkinje fibres,conduction system heart specialised conducting component heart include sinoatrial node internodal pathway atrioventricular node atrioventricular bundle right left bundle branch purkinje fibre,conduct system heart specialis conduct compon heart includ sinoatri node internod pathway atrioventricular node atrioventricular bundl right left bundl branch purkinj fibr,train
781,dataset/images/3.pdf/page_307_image_1.png,Cardiac conduction 1 The sinoatrial SA node and the remainder of the conduction system are at rest 2 The SA node initiates the action potential which sweeps across the atria 3 After reaching the atrioventricular node there is a delay of approximately 100 ms that allows the atria to complete pumping blood before the impulse is transmitted to the atrioventricular bundle 4 Following the delay the impulse travels through the atrioventricular bundle and bundle branches to the Purkinje fibres and reaches the right papillary muscle via the moderator band 5 The impulse spreads to the contractile fibres of the ventricle 6 Ventricular contraction begins,"['ventricles except at the atrioventricular node  illustrates the', 'impulse to the atrioventricular bundle  see', 'connect with the Purkinje fibres  see  step 4   This passage', 'see  step 5   Since the']",Figure 6.2.3,3.pdf,cardiac conduction 1 sinoatrial sa node remainder conduction system rest 2 sa node initiates action potential sweeps across atria 3 reaching atrioventricular node delay approximately 100 ms allows atria complete pumping blood impulse transmitted atrioventricular bundle 4 following delay impulse travels atrioventricular bundle bundle branches purkinje fibres reaches right papillary muscle via moderator band 5 impulse spreads contractile fibres ventricle 6 ventricular contraction begins,cardiac conduction 1 sinoatrial sa node remainder conduction system rest 2 sa node initiate action potential sweep across atrium 3 reaching atrioventricular node delay approximately 100 m allows atrium complete pumping blood impulse transmitted atrioventricular bundle 4 following delay impulse travel atrioventricular bundle bundle branch purkinje fibre reach right papillary muscle via moderator band 5 impulse spread contractile fibre ventricle 6 ventricular contraction begin,cardiac conduct 1 sinoatri sa node remaind conduct system rest 2 sa node initi action potenti sweep across atria 3 reach atrioventricular node delay approxim 100 ms allow atria complet pump blood impuls transmit atrioventricular bundl 4 follow delay impuls travel atrioventricular bundl bundl branch purkinj fibr reach right papillari muscl via moder band 5 impuls spread contractil fibr ventricl 6 ventricular contract begin,train
782,dataset/images/3.pdf/page_312_image_1.png,Standard placement of ECG leads In a 12lead ECG six electrodes are placed on the chest and four electrodes are placed on the limbs,['on the patient  s skin    In continuous ambulatory'],Figure 6.2.6,3.pdf,standard placement ecg leads 12lead ecg six electrodes placed chest four electrodes placed limbs,standard placement ecg lead 12lead ecg six electrode placed chest four electrode placed limb,standard placement ecg lead 12lead ecg six electrod place chest four electrod place limb,train
